symbol,adf_p_level,adf_p_diff,adf_I(1),pp_p_level,pp_p_diff,pp_I(1)
FDN,0.5101887702311874,0.0,True,0.5245363134550919,0.0,True
FDS,0.9424804930917942,0.0,True,0.9300836619348473,0.0,True
FDX,0.25741471457258225,1.4165412508547441e-21,True,0.31585247010446665,0.0,True
FE,0.3880150708476203,7.298229130817838e-30,True,0.3910120625755543,0.0,True
FFIV,0.589790144384152,8.542840439314806e-26,True,0.5662912217403161,0.0,True
FHN,0.6587381562881186,0.0,True,0.7170287352010356,0.0,True
FICO,0.1826847416080581,2.8488878301711195e-22,True,0.2257304274087641,0.0,True
FIS,0.22501810668621636,0.0,True,0.27017017420193273,0.0,True
FISV,0.9756571180416462,0.0,True,0.9703404165670019,0.0,True
FITB,0.34655342390137717,0.0,True,0.3453195778790394,0.0,True
FIVE,0.6177212310352246,0.0,True,0.467009707792311,0.0,True
FIVN,0.5439772740926198,0.0,True,0.5423589054077927,0.0,True
FLEX,0.6817285238719848,7.55299673458273e-17,True,0.8678476918992106,0.0,True
FLS,0.4821952496577957,0.0,True,0.4537768835411036,0.0,True
FMC,0.980632651131044,0.0,True,0.9794333895198416,0.0,True
FND,0.7966225358662506,0.0,True,0.841639098771232,0.0,True
FNF,0.06553798921783836,0.0,True,0.16320084278296937,0.0,True
FOX,0.8874424070129043,0.0,True,0.9126031009324331,0.0,True
FOXA,0.9158609793758243,0.0,True,0.9406863308203794,0.0,True
FOXF,0.6164202371202866,0.0,True,0.6462394874980759,0.0,True
FRPT,0.9043306885899949,0.0,True,0.8751774173969901,0.0,True
FSLR,0.4883242102769749,0.0,True,0.5641523632951203,0.0,True
FTEC,0.6584990784366813,9.827465494831647e-24,True,0.6340075989388066,0.0,True
FTNT,0.303073120855732,1.579749551561589e-26,True,0.3297364122138958,0.0,True
FTV,0.7476720466749981,0.0,True,0.758482367029361,0.0,True
FVD,0.2930945058050287,7.115143588712645e-24,True,0.4091945986484985,0.0,True
G,0.5620224507866889,2.093816078220778e-27,True,0.5724471219562276,0.0,True
GAP,0.0011200605223503914,6.844238388739856e-23,False,0.00121740363550735,0.0,False
GBPAUD,0.38573505698123134,1.5289189705218392e-27,True,0.24788473256115895,0.0,True
GBPCAD,0.5611285382128758,5.554627218956182e-10,True,0.32483938794376427,0.0,True
GBPCHF,0.3491216140798663,0.0,True,0.3683249191866798,0.0,True
